"Bryan Manley-Green","Q75838875","2019 United Kingdom general election","Warley","Liberal Democrats"
"Catherine Smith",,,,
"Chandra Kanneganti",,,,
"Darryl Magher",,,,
"David Matthews",,,,
"Edward Keating",,,,
"Harbhajan Dardi",,,,
"Jas Parmar",,,,
"Jeremy Pursehouse",,,,
"Karen Bissell",,,,
"Kathryn Downs","Q75975772","2019 United Kingdom general election","Warley","Green Party of England and Wales"
"Krishna Gamre",,,,
"Malcolm Connigale",,,,
"Mark Redding",,,,
"Michael Cooper","Q21642395","2015 Canadian federal election","St. Albertâ€”Edmonton","Conservative Party of Canada"
"Michael Cooper","Q21642395","2019 Canadian federal election",,
"Nigel Harvey",,,,
"Pete Durnell",,,,
"Robert Buckman",,,,
"Ron Cockings",,,,
"Simon Smith",,,,
"Tom Williams",,,,
"Tony Ferguson",,,,
